date,regime_score,dyn_n,n_held,exits,entries,exits_52h,exits_adtv,exits_reldd,exits_rank,exits_data
2024-06-24,0.7926159224258893,25,25,3,3,0,0,0,3,0
2024-07-01,0.7938991146056277,25,25,2,2,0,0,1,1,0
2024-07-08,0.7917690746421763,25,25,5,5,0,0,1,4,0
2024-07-15,0.7989707479206891,25,25,1,1,0,0,1,0,0
2024-07-22,0.750861934540324,25,25,1,1,0,0,0,1,0
2024-07-29,0.7976633692800534,25,25,2,2,0,0,0,2,0
2024-08-05,0.672454789610009,22,22,3,0,0,0,1,2,0
2024-08-12,0.7065464163124241,23,23,6,7,1,0,0,5,0
2024-08-19,0.7097694440208056,23,23,3,3,1,0,1,1,0
2024-08-26,0.7505248565838308,25,25,4,6,2,0,0,2,0
2024-09-02,0.741286155020034,24,24,1,0,0,0,0,1,0
2024-09-09,0.7078690328518267,23,23,1,0,0,0,0,1,0
2024-09-16,0.7456989278044858,24,24,2,3,0,0,0,2,0
2024-09-23,0.7273884541310339,24,24,3,3,0,0,1,2,0
2024-09-30,0.7156412132786243,24,24,0,0,0,0,0,0,0
2024-10-07,0.5941800948001603,20,21,3,0,1,0,0,2,0
2024-10-14,0.6617441699989934,22,22,1,2,0,0,0,1,0
2024-10-21,0.6126517555679585,21,21,2,1,0,0,0,2,0
2024-10-28,0.5288729055902605,19,19,4,2,2,0,0,2,0
2024-11-04,0.5632391782915522,20,20,1,2,1,0,0,0,0
2024-11-11,0.5509381953072887,19,19,2,1,0,0,0,2,0
2024-11-18,0.4824404952950734,17,17,2,0,2,0,0,0,0
2024-11-25,0.5299851928687139,19,19,0,2,0,0,0,0,0
2024-12-02,0.6067239681302863,21,21,1,3,0,0,0,1,0
2024-12-09,0.6659318658680763,22,22,1,2,0,0,0,1,0
2024-12-16,0.6449933397728312,22,22,1,1,0,0,0,1,0
2024-12-23,0.5291549403829873,19,21,1,0,1,0,0,0,0
2024-12-30,0.5250042860303602,19,21,0,0,0,0,0,0,0
2025-01-06,0.503641719404848,18,21,0,0,0,0,0,0,0
2025-01-13,0.4034409724442318,15,16,5,0,5,0,0,0,0
2025-01-20,0.4598296918911801,17,17,0,1,0,0,0,0,0
2025-01-27,0.3632807051868152,14,10,7,0,7,0,0,0,0
2025-02-03,0.4012330391253523,15,15,1,6,1,0,0,0,0
2025-02-10,0.3954950056606988,15,13,2,0,1,0,0,1,0
2025-02-17,0.3164525043529687,13,9,4,0,4,0,0,0,0
2025-02-24,0.3243178451467487,13,9,0,0,0,0,0,0,0
2025-03-03,0.29326187614733423,12,6,3,0,3,0,0,0,0
2025-03-10,0.322424294950989,13,5,1,0,1,0,0,0,0
2025-03-17,0.3163825186996274,13,5,0,0,0,0,0,0,0
2025-03-24,0.46401620205008387,17,17,0,12,0,0,0,0,0
2025-03-28,0.43052497620249774,16,17,0,0,0,0,0,0,0
2025-04-07,0.3297597861831244,13,14,3,0,3,0,0,0,0
2025-04-11,0.39748007370083327,15,14,0,0,0,0,0,0,0
2025-04-21,0.5361449720304612,19,19,1,6,0,0,0,1,0
2025-04-28,0.51474857719074,18,19,0,0,0,0,0,0,0
2025-05-05,0.4954448263575949,18,18,1,0,1,0,0,0,0
2025-05-12,0.5516974239099501,19,19,0,1,0,0,0,0,0
2025-05-19,0.6350161815055964,21,21,1,3,0,0,0,1,0
2025-05-26,0.6414741659432927,22,22,1,2,0,0,0,1,0
2025-06-02,0.6345885981280998,21,21,2,1,0,0,0,2,0
2025-06-09,0.682600773892137,23,23,2,4,0,0,1,1,0
2025-06-16,0.6582529435784941,22,22,2,1,1,0,0,1,0
2025-06-23,0.5981344913372496,20,20,3,1,0,0,0,3,0
2025-06-30,0.6781742379325322,23,23,1,4,0,0,1,0,0
2025-07-07,0.676402234230635,23,23,2,2,0,0,0,2,0
2025-07-14,0.650109680413595,22,23,0,0,0,0,0,0,0
2025-07-21,0.6639111813075014,22,22,3,2,1,0,0,2,0
