,equity
2024-12-03,1574243.8728192986
2024-12-18,1567350.8405927361
2024-12-19,1565755.4181073846
2024-12-20,1559177.2318280877
2024-12-23,1549155.5028977883
2024-12-24,1549204.175016929
2024-12-26,1549214.9792161477
2024-12-27,1550318.2848802102
2024-12-30,1548922.946501304
2024-12-31,1547516.7906175149
2025-01-02,1548484.8708177102
2025-01-03,1545721.2444749367
2025-01-06,1545618.484831382
2025-01-07,1547257.1971116555
2025-01-08,1545580.6302171242
2025-01-09,1545434.6138597024
2025-01-10,1544077.130095054
2025-01-13,1541903.0111985696
2025-01-14,1543044.1581712258
2025-01-15,1542822.4059739602
2025-01-16,1543996.0054612649
2025-01-17,1541437.8850999367
2025-01-20,1542249.1314378274
2025-01-21,1538598.3846864663
2025-01-22,1538598.3846864663
2025-01-23,1538598.3846864663
2025-01-24,1538598.3846864663
2025-01-27,1538598.3846864663
2025-01-28,1538598.3846864663
2025-01-29,1538598.3846864663
2025-01-30,1538598.3846864663
2025-01-31,1538598.3846864663
2025-02-03,1538598.3846864663
2025-02-04,1538598.3846864663
2025-02-05,1538598.3846864663
2025-02-06,1538598.3846864663
2025-02-07,1538598.3846864663
2025-02-10,1538598.3846864663
2025-02-11,1538598.3846864663
2025-02-12,1538598.3846864663
2025-02-13,1538598.3846864663
2025-02-14,1538598.3846864663
2025-02-17,1538598.3846864663
2025-02-18,1538598.3846864663
2025-02-19,1538598.3846864663
2025-02-20,1538598.3846864663
2025-02-21,1538598.3846864663
2025-02-24,1538598.3846864663
2025-02-25,1538598.3846864663
2025-02-27,1538598.3846864663
2025-02-28,1538598.3846864663
2025-03-03,1538598.3846864663
2025-03-04,1538598.3846864663
2025-03-05,1538598.3846864663
2025-03-06,1538598.3846864663
2025-03-07,1538598.3846864663
2025-03-10,1538598.3846864663
2025-03-11,1538598.3846864663
2025-03-12,1538598.3846864663
2025-03-13,1538598.3846864663
2025-03-17,1538598.3846864663
2025-03-18,1538598.3846864663
2025-03-19,1538598.3846864663
2025-04-01,1538598.3846864663
2025-04-04,1538598.3846864663
2025-04-07,1538598.3846864663
2025-04-08,1538598.3846864663
2025-04-09,1538598.3846864663
2025-04-11,1538598.3846864663
2025-04-22,1537112.692969242
2025-04-23,1538545.5131978602
2025-04-29,1536683.6560753626
2025-05-12,1509744.407556751
2025-05-19,1549839.9662820145
2025-05-23,1537685.9380426551
2025-05-26,1527166.9282541908
2025-06-05,1548266.5334493867
2025-06-06,1522274.1137798717
2025-06-10,1547113.736539866
2025-06-11,1538025.0740642801
2025-06-12,1521333.8793622798
2025-06-23,1491960.0574095636
2025-06-30,1498001.231101005
2025-07-04,1505401.7699330668
2025-07-08,1509611.0378502673
2025-07-09,1518511.6743859118
2025-07-10,1513300.8313530749
2025-07-11,1511653.0503319567
2025-07-14,1537662.1499108141
2025-07-15,1546633.6131981676
2025-07-16,1558975.4960869616
2025-07-17,1554541.265953905
2025-07-18,1550760.044304735
