Date,Ticker,Action,Reason,Entry Price,Exit Price,Peak Price,PnL %,Days Held
2024-03-15,BLUE STAR LIMITED,BUY,STREAK_5,1268.6217,,1268.6217,,
2024-03-15,ULTRATECH CEMENT LIMITED,BUY,STREAK_5,9515.8428,,9515.8428,,
2024-03-15,DELHIVERY LIMITED,BUY,STREAK_5,437.85,,437.85,,
2024-03-22,ALKEM LABORATORIES LIMITED,SELL,TSL_EXIT,4792.894,4702.3174,5371.9663,-1.89,91.0
2024-03-22,TATA CONSUMER PRODUCTS LIMITED,SELL,TSL_EXIT,1145.2577,1106.8589,1243.6945,-3.35,63.0
2024-03-22,PETRONET LNG LIMITED,SELL,TSL_EXIT,252.5798,243.1122,272.968,-3.75,49.0
2024-03-22,SUN PHARMACEUTICAL INDUSTRIES LIMITED,BUY,STREAK_5,1578.7207,,1578.7207,,
2024-03-22,Solar Industries India Limited,BUY,STREAK_5,9309.5234,,9309.5234,,
2024-03-22,BLUE JET HEALTHCARE LIMITED,BUY,STREAK_5,368.3438,,368.3438,,
2024-04-19,HCL TECHNOLOGIES LIMITED,SELL,TSL_EXIT,988.2555,1346.887,1569.1813,36.29,399.0
2024-04-19,FORCE MOTORS LIMITED,BUY,STREAK_6,9271.1533,,9271.1533,,
