date,equity,regime,n_holdings
2023-09-15,1719272.0081799699,BULL,5
2023-09-18,1725110.5553747523,BULL,5
2023-09-20,1719700.3367462843,BULL,5
2023-09-21,1707645.0263488698,BULL,5
2023-09-22,1697712.8915764973,BULL,5
2023-09-25,1701333.1748996172,BULL,5
2023-09-26,1710144.1298673179,BULL,5
2023-09-27,1716731.331385946,BULL,5
2023-09-28,1704715.0555113123,BULL,5
2023-09-29,1719249.723047209,BULL,5
2023-10-03,1717693.6886800595,BULL,5
2023-10-04,1693073.0760652744,BULL,5
2023-10-05,1692837.6451812496,BULL,5
2023-10-06,1704731.6001307433,BULL,5
2023-10-09,1688704.3494971816,BULL,5
2023-10-10,1708049.7144213158,BULL,5
2023-10-11,1721011.1327298824,BULL,5
2023-10-12,1725760.165545565,BULL,5
2023-10-13,1722756.322196711,BULL,5
2023-10-16,1727910.1705848945,BULL,5
2023-10-17,1740964.9564482016,BULL,5
2023-10-18,1729068.4689655427,BULL,5
2023-10-19,1728627.0916666654,BULL,5
2023-10-20,1705135.5501305205,BULL,5
2023-10-23,1669486.7699949655,BULL,5
2023-10-25,1655518.5577163133,BULL,5
2023-10-26,1641813.751046519,BULL,5
2023-10-27,1670483.990839312,BULL,5
2023-10-30,1670801.806869226,BEAR,0
2023-10-31,1670893.3576531643,BEAR,0
2023-11-01,1670984.9134535838,BEAR,0
2023-11-02,1671076.4742707594,BEAR,0
2023-11-03,1671168.0401049661,BEAR,0
2023-11-06,1671199.6109564789,PARTIAL,3
2023-11-07,1675568.1984415622,PARTIAL,3
2023-11-08,1678077.555418673,PARTIAL,3
2023-11-09,1677851.516389418,PARTIAL,3
