date,equity
26-06-2024,2357438.6112623014
27-06-2024,2364977.336496569
28-06-2024,2368610.081399898
01-07-2024,2378944.600354046
02-07-2024,2370265.3728957316
03-07-2024,2382832.418254384
04-07-2024,2399697.590452387
05-07-2024,2414387.6206271304
08-07-2024,2414000.6245005615
09-07-2024,2427325.5184961297
10-07-2024,2414871.7649105974
11-07-2024,2415565.477429815
12-07-2024,2409654.9782686965
15-07-2024,2425924.866538898
16-07-2024,2422600.773176116
18-07-2024,2407965.3064365103
19-07-2024,2358179.3491560826
22-07-2024,2381232.2331574787
23-07-2024,2378663.613
24-07-2024,2383393.625517005
25-07-2024,2393216.295610106
26-07-2024,2433851.604243786
29-07-2024,2456529.3735009627
30-07-2024,2462255.817061385
31-07-2024,2475237.6110450183
01-08-2024,2461779.0719599947
02-08-2024,2426153.475086582
05-08-2024,2383271.8612976363
06-08-2024,2356906.469337863
07-08-2024,2392794.979371877
08-08-2024,2387621.4969080333
09-08-2024,2403548.7634897097
12-08-2024,2399060.531833393
13-08-2024,2391299.359246945
14-08-2024,2387166.4879618385
16-08-2024,2425055.4504526304
19-08-2024,2430626.0619911044
20-08-2024,2446111.288239374
21-08-2024,2459047.9203793127
22-08-2024,2472130.6720960075
23-08-2024,2466074.552617314
26-08-2024,2478463.441541798
27-08-2024,2476977.559332102
28-08-2024,2477329.0673250826
29-08-2024,2484285.984142686
30-08-2024,2491662.476834787
02-09-2024,2498907.6025350876
03-09-2024,2501947.324714279
04-09-2024,2501417.5020939833
05-09-2024,2503441.859949342
06-09-2024,2484552.246460599
09-09-2024,2481432.502980722
10-09-2024,2508358.406312594
11-09-2024,2509063.2345190262
12-09-2024,2536375.548668119
13-09-2024,2542503.0961401435
16-09-2024,2542007.355
17-09-2024,2543592.2315828586
18-09-2024,2503161.168765022
19-09-2024,2499723.721783706
20-09-2024,2519837.8624263974
23-09-2024,2530052.662684558
24-09-2024,2534970.146932533
25-09-2024,2527515.1518079042
26-09-2024,2534551.1008566255
27-09-2024,2551279.4211107693
30-09-2024,2528741.944235162
01-10-2024,2537503.6827796996
03-10-2024,2509566.022159893
04-10-2024,2498920.145
07-10-2024,2460067.448456454
08-10-2024,2486458.9174164576
09-10-2024,2501210.255
10-10-2024,2474181.164725501
11-10-2024,2486159.863782627
14-10-2024,2497556.6263085445
15-10-2024,2495721.1684432197
16-10-2024,2490868.5028652116
17-10-2024,2462352.6339515666
18-10-2024,2455363.7070082035
21-10-2024,2432815.3814389906
22-10-2024,2404454.9766229093
23-10-2024,2393024.7837369973
24-10-2024,2374749.242080864
25-10-2024,2370934.167161373
28-10-2024,2385880.982410574
29-10-2024,2374713.040784226
30-10-2024,2377957.602131638
31-10-2024,2379806.0538888117
01-11-2024,2385499.3903187113
04-11-2024,2380062.196453307
05-11-2024,2380166.773165432
06-11-2024,2377957.2120450484
07-11-2024,2369475.1096298895
08-11-2024,2372929.121848141
11-11-2024,2369927.8972278177
12-11-2024,2361080.4209173233
13-11-2024,2360697.843897072
14-11-2024,2353190.1463762904
18-11-2024,2358227.548638579
19-11-2024,2364056.6373261265
21-11-2024,2370068.4272911586
22-11-2024,2375653.9333858993
25-11-2024,2371130.291756042
26-11-2024,2363561.7301197373
27-11-2024,2367685.689061063
28-11-2024,2367851.2502744356
29-11-2024,2369782.874
02-12-2024,2367349.8047342515
03-12-2024,2402589.0698375152
04-12-2024,2382121.2947370387
05-12-2024,2363656.0661885245
06-12-2024,2365155.5689237206
09-12-2024,2370417.4268507315
10-12-2024,2368882.7881344967
11-12-2024,2379970.2308633677
12-12-2024,2387841.4772845986
13-12-2024,2385032.511445911
16-12-2024,2387745.709439825
17-12-2024,2394706.7270796243
18-12-2024,2399847.2587131085
19-12-2024,2395217.823935798
20-12-2024,2385855.1164395898
23-12-2024,2400583.588074229
24-12-2024,2421441.0541085918
26-12-2024,2426156.832798269
27-12-2024,2433724.7208359367
30-12-2024,2417747.588633477
31-12-2024,2410690.8714321437
01-01-2025,2416400.315443312
02-01-2025,2411547.8971114275
03-01-2025,2441547.6119267065
06-01-2025,2414095.217472738
07-01-2025,2420920.0757155507
08-01-2025,2426954.479143306
09-01-2025,2418832.457270133
10-01-2025,2418507.257319635
13-01-2025,2404887.952745372
14-01-2025,2409305.528128195
15-01-2025,2408728.8353994763
16-01-2025,2407720.988139496
17-01-2025,2420618.067595858
20-01-2025,2416160.9492447255
21-01-2025,2423596.676032005
22-01-2025,2446985.3411433357
23-01-2025,2428623.3193080104
24-01-2025,2442742.048764168
27-01-2025,2424451.898603363
28-01-2025,2397215.177233125
29-01-2025,2413130.425527364
30-01-2025,2413775.4176515983
31-01-2025,2419917.7098992052
01-02-2025,2422319.3409385593
03-02-2025,2417054.885358729
04-02-2025,2427902.357412133
05-02-2025,2427954.3051792956
06-02-2025,2430230.4634604366
07-02-2025,2436521.045790861
10-02-2025,2436193.2687509684
11-02-2025,2435865.497531028
12-02-2025,2440311.634891322
13-02-2025,2431466.798797307
14-02-2025,2430108.3160341433
17-02-2025,2434554.470857163
18-02-2025,2438186.898076735
19-02-2025,2438889.8907881947
20-02-2025,2444258.2942918036
21-02-2025,2445720.7831779458
24-02-2025,2439913.925956966
25-02-2025,2429658.6651691617
27-02-2025,2420488.388
28-02-2025,2385475.6428444358
03-03-2025,2385560.210763026
04-03-2025,2392498.2691843743
05-03-2025,2391520.8801403837
06-03-2025,2390087.9311752366
07-03-2025,2391730.056088634
10-03-2025,2391720.7612462253
11-03-2025,2390743.3951256266
12-03-2025,2392214.700113655
13-03-2025,2395223.544907558
17-03-2025,2400681.0608107164
18-03-2025,2404202.4284274313
19-03-2025,2406186.2677031085
20-03-2025,2407031.198583154
21-03-2025,2404060.7728651213
24-03-2025,2400463.9501100606
25-03-2025,2400853.332540068
26-03-2025,2400502.426520793
27-03-2025,2403169.648677704
28-03-2025,2407829.976295165
01-04-2025,2429877.5294920974
02-04-2025,2420554.765629113
03-04-2025,2419436.0141126867
04-04-2025,2414002.1740998863
07-04-2025,2406011.246986042
08-04-2025,2405478.513446074
09-04-2025,2412776.882867123
11-04-2025,2430197.084339976
15-04-2025,2431369.096939806
16-04-2025,2438774.029
17-04-2025,2441331.1457010824
21-04-2025,2449055.726472253
22-04-2025,2460243.043103609
23-04-2025,2449588.5300612375
24-04-2025,2447191.302138809
25-04-2025,2446072.6265261495
28-04-2025,2440585.589651729
29-04-2025,2445966.203605953
30-04-2025,2440479.1784144756
