ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_days,pnl_pct,pnl_rs
INDIAGLYCO,signal_reversal,2025-07-17,989.63,2025-07-22,906.03,146,4,-8.45,-12205.6
JSFB,signal_reversal,2025-05-15,518.4,2025-07-24,454.8,260,51,-12.27,-16536.0
DCBBANK,signal_reversal,2025-07-04,142.2,2025-07-28,136.26,1003,17,-4.18,-5957.82
SWSOLAR,signal_reversal,2025-07-11,338.2,2025-07-28,289.15,427,12,-14.5,-20944.35
BAJAJFINSV,signal_reversal,2025-04-24,2118.96,2025-07-31,1951.43,64,70,-7.91,-10721.92
MANAPPURAM,signal_reversal,2025-06-11,263.13,2025-07-31,254.74,521,37,-3.19,-4371.19
HOMEFIRST,signal_reversal,2025-06-20,1284.5,2025-07-31,1249.16,103,30,-2.75,-3640.02
NH,signal_reversal,2025-03-04,1532.98,2025-08-05,1838.82,87,105,19.95,26608.08
INDIASHLTR,signal_reversal,2025-05-29,867.91,2025-08-08,888.28,155,52,2.35,3157.35
ADANIPOWER,signal_reversal,2025-06-19,110.2,2025-08-08,116.4,1225,37,5.63,7595.0
LLOYDSME,signal_reversal,2025-07-28,1503.3,2025-08-11,1393.37,95,11,-7.31,-10443.35
BHARTIHEXA,signal_reversal,2025-06-20,1721.37,2025-08-14,1678.53,77,40,-2.49,-3298.68
GLENMARK,signal_reversal,2025-08-05,2069.82,2025-08-20,1944.23,69,11,-6.07,-8665.71
GMMPFAUDLR,signal_reversal,2025-08-21,1257.56,2025-08-22,1224.12,117,2,-2.66,-3912.48
HDFCBANK,signal_reversal,2025-05-21,935.18,2025-08-28,951.27,143,70,1.72,2300.87
GALLANTT,signal_reversal,2025-05-23,479.16,2025-08-28,600.94,280,68,25.42,34098.4
INDIGO,signal_reversal,2025-05-16,5589.55,2025-09-01,5629.5,24,75,0.71,958.8
TBOTEK,signal_reversal,2025-08-13,1452.2,2025-09-01,1307.3,99,12,-9.98,-14345.1
ANURAS,signal_reversal,2025-07-31,1148.9,2025-09-02,1109.9,126,22,-3.39,-4914.0
FORCEMOT,signal_reversal,2025-05-27,10626.54,2025-09-09,17209.01,12,74,61.94,78989.64
NUVOCO,signal_reversal,2025-07-18,410.0,2025-09-12,428.35,353,39,4.48,6477.55
POWERINDIA,signal_reversal,2025-06-16,17774.85,2025-09-23,19206.0,7,70,8.05,10018.05
CCL,signal_reversal,2025-07-25,846.76,2025-09-23,897.73,171,41,6.02,8715.87
UPL,signal_reversal,2025-07-22,708.15,2025-09-24,669.27,203,45,-5.49,-7892.64
DATAMATICS,signal_reversal,2025-08-22,929.8,2025-09-24,861.0,160,23,-7.4,-11008.0
ULTRACEMCO,signal_reversal,2025-09-23,12396.96,2025-09-25,11965.76,12,3,-3.48,-5174.4
EXIDEIND,signal_reversal,2025-09-04,420.93,2025-09-26,391.32,351,17,-7.03,-10393.11
GRASIM,signal_reversal,2025-09-23,2850.02,2025-09-29,2731.59,53,5,-4.16,-6276.79
PVRINOX,signal_reversal,2025-08-12,1075.2,2025-10-01,1078.5,134,35,0.31,442.2
CRAFTSMAN,signal_reversal,2025-07-31,6816.68,2025-10-13,6462.11,21,50,-5.2,-7445.97
GODFRYPHLP,signal_reversal,2025-05-22,2761.87,2025-10-24,3124.12,48,108,13.12,17388.0
GVT&D,signal_reversal,2025-07-31,2721.81,2025-10-24,2817.6,53,58,3.52,5076.87
ASAHIINDIA,signal_reversal,2025-10-13,895.0,2025-10-24,935.15,172,9,4.49,6905.8
MAHSCOOTER,signal_reversal,2025-05-22,13423.38,2025-10-27,16400.16,10,109,22.18,29767.8
ETERNAL,signal_reversal,2025-07-23,298.0,2025-11-03,316.45,486,70,6.19,8966.7
TSFINV,signal_reversal,2025-06-24,461.1,2025-11-06,587.47,294,93,27.41,37152.78
AADHARHFC,signal_reversal,2025-07-17,505.2,2025-11-07,499.45,286,77,-1.14,-1644.5
NETWEB,signal_reversal,2025-08-19,2162.73,2025-11-07,3298.74,67,55,52.53,76112.67
BLUESTARCO,signal_reversal,2025-09-25,1937.6,2025-11-07,1781.26,77,29,-8.07,-12038.18
NMDC,signal_reversal,2025-10-08,74.24,2025-11-07,70.37,2072,21,-5.21,-8018.64
WAAREEENER,signal_reversal,2025-09-12,3763.79,2025-11-10,3295.0,39,39,-12.46,-18282.81
FORTIS,signal_reversal,2025-06-11,777.16,2025-11-12,1003.04,176,106,29.06,39754.88
GABRIEL,signal_reversal,2025-05-22,655.19,2025-11-17,1166.39,205,123,78.02,104796.0
TVSMOTOR,signal_reversal,2025-10-31,3484.82,2025-11-17,3395.63,44,11,-2.56,-3924.36
WAAREERTL,signal_reversal,2025-10-08,1058.0,2025-11-20,1095.4,145,30,3.53,5423.0
ADANIPOWER,signal_reversal,2025-09-10,129.4,2025-11-25,145.44,1149,52,12.4,18429.96
JSWSTEEL,signal_reversal,2025-09-24,1131.9,2025-11-25,1100.98,133,42,-2.73,-4112.36
AEGISVOPAK,signal_reversal,2025-11-24,258.41,2025-11-26,254.91,584,3,-1.35,-2044.0
HBLENGINE,signal_reversal,2025-11-18,1035.63,2025-12-02,868.11,147,11,-16.18,-24625.44
ABDL,signal_reversal,2025-08-19,495.21,2025-12-03,597.23,294,73,20.6,29993.88
AVL,signal_reversal,2025-10-31,572.55,2025-12-04,506.9,273,24,-11.47,-17922.45
NYKAA,signal_reversal,2025-08-29,231.91,2025-12-09,251.55,623,70,8.47,12235.72
TDPOWERSYS,signal_reversal,2025-11-18,781.24,2025-12-09,670.45,194,16,-14.18,-21493.26
VARROC,signal_reversal,2025-11-25,658.41,2025-12-09,616.74,229,11,-6.33,-9542.43
SHAILY,signal_reversal,2025-11-18,2746.0,2025-12-17,2362.8,55,22,-13.95,-21076.0
ALKEM,signal_reversal,2025-12-01,5656.2,2025-12-19,5452.21,27,15,-3.61,-5507.73
UNITDSPR,signal_reversal,2025-12-17,1434.32,2025-12-19,1375.05,105,3,-4.13,-6223.35
NEULANDLAB,signal_reversal,2025-09-15,15994.44,2025-12-24,15408.52,9,70,-3.66,-5273.28
RATEGAIN,signal_reversal,2025-11-27,722.55,2025-12-26,649.0,209,21,-10.18,-15371.95
M&M,signal_reversal,2025-09-10,3663.53,2025-12-30,3552.69,40,76,-3.03,-4433.6
MINDACORP,signal_reversal,2025-12-03,603.24,2025-12-30,568.67,252,19,-5.73,-8711.64
INDIAGLYCO,signal_reversal,2025-12-19,1027.23,2025-12-30,1002.25,147,7,-2.43,-3672.06
PRIVISCL,signal_reversal,2025-12-24,3289.97,2026-01-01,2804.03,47,6,-14.77,-22839.18
IMFA,signal_reversal,2025-11-27,1248.79,2026-01-07,1292.35,121,29,3.49,5270.76
ATHERENERG,signal_reversal,2025-09-10,576.15,2026-01-12,633.3,258,85,9.92,14744.7
ADANIENSOL,signal_reversal,2025-12-26,996.1,2026-01-12,960.6,155,12,-3.56,-5502.5
ASAHIINDIA,signal_reversal,2025-11-25,1047.0,2026-01-13,930.0,144,35,-11.17,-16848.0
LT,signal_reversal,2025-11-18,3981.11,2026-01-14,3862.28,38,41,-2.98,-4515.54
MOTHERSON,signal_reversal,2025-12-03,118.43,2026-01-14,113.83,1287,30,-3.88,-5920.2
GPPL,signal_reversal,2025-11-28,174.94,2026-01-20,173.89,869,37,-0.6,-912.45
PRICOLLTD,signal_reversal,2025-12-02,625.0,2026-01-20,583.95,245,35,-6.57,-10057.25
LUMAXTECH,signal_reversal,2025-12-01,1538.0,2026-01-21,1363.57,99,37,-11.34,-17268.57
NH,signal_reversal,2026-01-15,1941.8,2026-01-21,1806.3,79,5,-6.98,-10704.5
ACUTAAS,signal_reversal,2026-01-20,1682.4,2026-01-21,1621.5,91,2,-3.62,-5541.9
CUPID,signal_reversal,2025-10-08,43.2,2026-01-22,78.0,3561,74,80.56,123922.8
IDFCFIRSTB,signal_reversal,2026-01-16,82.82,2026-01-22,81.76,1874,5,-1.28,-1986.44
NUVAMA,signal_reversal,2026-01-16,1434.28,2026-01-22,1366.93,108,5,-4.7,-7273.8
LAURUSLABS,signal_reversal,2026-01-20,1063.94,2026-01-22,1002.0,145,3,-5.82,-8981.3
ANURAS,signal_reversal,2026-01-21,1270.0,2026-01-22,1227.0,117,2,-3.39,-5031.0
IIFL,signal_reversal,2026-01-16,630.68,2026-01-23,545.96,246,6,-13.43,-20841.12
SANSERA,signal_reversal,2025-12-17,1720.3,2026-01-27,1663.0,88,28,-3.33,-5042.4
SBILIFE,signal_reversal,2026-01-23,2019.19,2026-01-27,2002.42,73,2,-0.83,-1224.21
ABCAPITAL,signal_reversal,2025-11-20,331.95,2026-02-02,327.5,457,51,-1.34,-2033.65
PERSISTENT,signal_reversal,2026-01-21,6285.54,2026-02-02,6098.32,23,8,-2.98,-4306.06
MUTHOOTFIN,signal_reversal,2025-12-04,3738.39,2026-02-03,3693.77,40,42,-1.19,-1784.8
LTM,signal_reversal,2026-01-16,5950.75,2026-02-05,5624.62,26,14,-5.48,-8479.38
TCS,signal_reversal,2026-01-22,3090.91,2026-02-05,2933.91,47,10,-5.08,-7379.0
HCLTECH,signal_reversal,2026-01-22,1642.08,2026-02-06,1565.73,89,11,-4.65,-6795.15
CANBK,signal_reversal,2025-12-19,145.31,2026-02-13,139.21,1044,39,-4.2,-6368.4
BSOFT,signal_reversal,2026-02-09,429.41,2026-02-17,387.33,352,7,-9.8,-14812.16
UJJIVANSFB,signal_reversal,2025-12-17,54.0,2026-03-02,54.98,2813,52,1.81,2756.74
COROMANDEL,signal_reversal,2026-02-19,2349.71,2026-03-04,2158.1,66,9,-8.15,-12646.26
AETHER,signal_reversal,2026-02-27,964.9,2026-03-04,905.0,163,3,-6.21,-9763.7
AUBANK,signal_reversal,2025-12-30,984.04,2026-03-05,951.58,156,46,-3.3,-5063.76
M&MFIN,signal_reversal,2025-11-18,308.07,2026-03-10,343.62,494,78,11.54,17561.7
ASHOKLEY,signal_reversal,2025-12-01,155.61,2026-03-10,188.29,984,69,21.0,32157.12
KARURVYSYA,signal_reversal,2025-12-30,252.65,2026-03-10,294.61,609,49,16.61,25553.64
TMB,signal_reversal,2026-01-21,528.25,2026-03-10,597.11,283,33,13.04,19487.38
FORCEMOT,signal_reversal,2026-02-02,18710.0,2026-03-10,21200.0,8,26,13.31,19920.0
GAEL,signal_reversal,2026-02-04,133.94,2026-03-10,132.01,1128,24,-1.44,-2177.04
CRAFTSMAN,signal_reversal,2026-02-17,7711.59,2026-03-10,7341.04,19,15,-4.81,-7040.45
NAVINFLUOR,signal_reversal,2026-01-28,5863.45,2026-03-13,6193.55,25,32,5.63,8252.5
BAJAJ-AUTO,signal_reversal,2026-02-25,9722.67,2026-03-13,8949.06,16,12,-7.96,-12377.76
UNIONBANK,signal_reversal,2026-01-07,161.73,2026-03-16,167.26,969,47,3.42,5358.57
INDUSTOWER,signal_reversal,2026-02-03,427.32,2026-03-16,409.59,347,29,-4.15,-6152.31
CANHLIFE,signal_reversal,2026-02-25,149.78,2026-03-16,140.3,1038,13,-6.33,-9840.24
HINDZINC,signal_reversal,2026-03-13,567.63,2026-03-16,538.17,263,2,-5.19,-7747.98
MAHABANK,signal_reversal,2026-01-02,61.8,2026-03-18,61.86,2571,52,0.1,154.26
