TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
SELL,Rank 41 > 40 | TSL 7.3% >= 5%,HNGSNGBEES,HNGSNGBEES,2019-12-02,2020-02-03,323.19,362.2,535.9482,20887.34,PARTIAL
BUY,NEW BUY (rank=4),CONSUMBEES,CONSUMBEES,2020-02-10,,54.61,,3240.719,,BULL
BUY,NEW BUY (rank=1),MID150BEES,MID150BEES,2020-02-10,,67.35,,2627.7011,,BULL
SELL,TSL 5.5% >= 5%,CONSUMBEES,CONSUMBEES,2020-02-10,2020-03-02,54.61,52.04,3240.719,-8348.65,BEAR
SELL,TSL 6.8% >= 5%,HDFCSENSEX,HDFCSENSEX,2019-12-16,2020-03-02,42.96,41.11,3963.769,-7352.97,BEAR
SELL,Rank 50 > 40 | TSL 7.6% >= 5%,SBIETFQLTY,SBIETFQLTY,2020-01-20,2020-03-02,101.92,94.95,1769.7294,-12355.01,BEAR
SELL,Regime slot reduction / sector cap / rank cut,SETFGOLD,SETFGOLD,2019-10-21,2020-03-02,34.47,37.53,5129.7092,15676.91,BEAR
SELL,TSL 7.3% >= 5%,MID150BEES,MID150BEES,2020-02-10,2020-03-02,67.35,62.56,2627.7011,-12606.69,BEAR
BUY,NEW BUY (rank=1),GOLDBETA,GOLDBETA,2020-06-08,,42.02,,4060.273,,PARTIAL
BUY,NEW BUY (rank=11),LICNETFGSC,LICNETFGSC,2020-06-08,,23.86,,7150.573,,PARTIAL
BUY,NEW BUY (rank=12),HNGSNGBEES,HNGSNGBEES,2020-06-08,,354.86,,480.7887,,PARTIAL
SELL,TSL 11.5% >= 5%,LICNETFGSC,LICNETFGSC,2020-06-08,2020-06-29,23.86,21.11,7150.573,-19684.08,PARTIAL
BUY,NEW BUY (rank=11),LTGILTBEES,LTGILTBEES,2020-06-29,,21.77,,7723.0096,,PARTIAL
BUY,NEW BUY (rank=11),LICNETFGSC,LICNETFGSC,2020-07-20,,21.81,,7716.8623,,BULL
BUY,NEW BUY (rank=14),SHARIABEES,SHARIABEES,2020-07-20,,273.53,,615.3064,,BULL
SELL,Rank 52 > 40,HNGSNGBEES,HNGSNGBEES,2020-06-08,2020-08-24,354.86,347.5,480.7887,-3558.6,BULL
BUY,NEW BUY (rank=11),LOWVOLIETF,LOWVOLIETF,2020-08-24,,9.62,,17688.8147,,BULL
SELL,TSL 5.1% >= 5%,LICNETFGSC,LICNETFGSC,2020-07-20,2020-08-31,21.81,20.95,7716.8623,-6656.5,BULL
SELL,TSL 8.5% >= 5%,SHARIABEES,SHARIABEES,2020-07-20,2020-08-31,273.53,279.06,615.3064,3382.64,BULL
BUY,NEW BUY (rank=12),INFRABEES,INFRABEES,2020-08-31,,326.75,,515.7779,,BULL
BUY,NEW BUY (rank=13),NV20,NV20,2020-08-31,,5537.2,,30.436,,BULL
